Class,Binomial,Population_Count,High_Risk_Populations,Median_Log_Trend,Mean_Log_Trend,Regions,High_Risk_Share
Actinopteri,Lophius_americanus,24,8,-0.1341615399560938,-0.30633151673689485,North America,0.3333333333333333
Mammalia,Syncerus_caffer,31,10,0.1807974566703905,0.5811567256224598,Africa,0.3225806451612903
Actinopteri,Myzopsetta_ferruginea,28,9,0.07447510542803094,-0.10607049614879137,North America,0.32142857142857145
Aves,Eudyptes_chrysolophus,22,7,-0.09751246358495175,0.1374195994084072,"Africa, Antarctic",0.3181818181818182
Actinopteri,Oncorhynchus_kisutch,26,8,-0.17227267918893036,0.2969879622755289,North America,0.3076923076923077
Actinopteri,Melanogrammus_aeglefinus,49,15,-0.0654063924741109,-0.0969025176172826,"Europe, North America",0.30612244897959184
Actinopteri,Scomber_scombrus,20,6,-0.033628782911217146,-0.04976910479239329,"Europe, North America",0.3
Actinopteri,Glyptocephalus_cynoglossus,27,8,0.0722271074197706,0.04894732929881934,"Europe, North America",0.2962962962962963
Mammalia,Rangifer_tarandus,41,12,-0.0253049939606224,-0.4152473156977834,"Europe, North America",0.2926829268292683
Aves,Arenaria_interpres,24,7,-0.15399189238456665,-0.04366467275806041,"Africa, Asia, Europe, Oceania",0.2916666666666667
Actinopteri,Clupea_harengus,48,14,0.34896659720132833,0.274367066089247,"Europe, North America",0.2916666666666667
Aves,Sternula_albifrons,31,9,-0.0465200156348926,0.10769786928067848,"Asia, Europe, Oceania",0.2903225806451613
Aves,Anser_albifrons,31,9,0.492299782122414,0.48206806102493144,"Asia, Europe, Latin America and Caribbean, North America",0.2903225806451613
Aves,Limosa_limosa,245,71,0.0,-0.3144143429706714,"Africa, Asia, Europe, Oceania",0.2897959183673469
Aves,Calidris_canutus,318,91,0.0,-0.19428677372310674,"Africa, Asia, Europe, Latin America and Caribbean, North America",0.2861635220125786
Aves,Calidris_acuminata,542,155,0.0,0.05573136513775698,"Asia, Oceania",0.2859778597785978
Aves,Gulosus_aristotelis,21,6,-0.0951287080680503,-0.008428717837170686,"Asia, Europe",0.2857142857142857
Elasmobranchii,Amblyraja_radiata,28,8,-0.01406388266216505,-0.18988350049707678,North America,0.2857142857142857
Aves,Alca_torda,21,6,0.4021593199736646,0.32361124680656383,"Europe, North America",0.2857142857142857
Aves,Somateria_mollissima,32,9,-0.2407476214795565,-0.10388026301799436,"Asia, Europe, North America",0.28125
Aves,Fulica_atra,25,7,-0.1962799090446614,0.1324637013815983,"Africa, Asia, Europe, Oceania",0.28
Actinopteri,Merluccius_bilinearis,29,8,-0.0879053862623842,-0.11008772125551375,North America,0.27586206896551724
Aves,Nycticorax_nycticorax,22,6,-0.0274002605961731,0.33447472400124767,"Asia, Europe, North America",0.2727272727272727
Aves,Sterna_paradisaea,26,7,-0.08645069866009875,-0.03240052982350908,"Asia, Europe, North America",0.2692307692307692
Mammalia,Phascolarctos_cinereus,102,27,-0.11557664611916765,-0.17165407304129748,Oceania,0.2647058823529412
Mammalia,Myodes_glareolus,23,6,0.1904149959238419,-0.008951609124670721,"Asia, Europe",0.2608695652173913
Aves,Egretta_garzetta,23,6,0.4177352006999788,0.5476030489007531,"Africa, Asia, Europe, Oceania",0.2608695652173913
Aves,Mareca_penelope,28,7,0.0489087611906653,-0.031190828682987577,"Africa, Asia, Europe, North America",0.25
Mammalia,Loxodonta_africana,44,11,0.11598205746118265,0.17022819503752745,Africa,0.25
Aves,Atrichornis_rufescens,45,11,0.0,-0.04180826268388655,Oceania,0.24444444444444444
Actinopteri,Mallotus_villosus,29,7,0.2195139837636736,0.5876670941799856,"Asia, Europe, North America",0.2413793103448276
Aves,Tringa_totanus,25,6,0.3581189875109656,0.41192740189242344,"Africa, Asia, Europe",0.24
Mammalia,Equus_burchellii,34,8,0.13591179211333854,0.4291023703344475,Africa,0.23529411764705882
Mammalia,Tragelaphus_strepsiceros,26,6,-0.1636220509758701,0.10210312853085654,Africa,0.23076923076923078
Elasmobranchii,Malacoraja_senta,26,6,-0.0314741499999763,-0.18547065340962215,North America,0.23076923076923078
Aves,Branta_bernicla,39,9,0.1333530600337695,0.44429868029985886,"Asia, Europe, Latin America and Caribbean, North America",0.23076923076923078
Actinopteri,Salmo_trutta,48,11,0.02928489904558775,0.28808536831393255,"Europe, Latin America and Caribbean, North America",0.22916666666666666
Mammalia,Neophoca_cinerea,36,8,-0.2874237412654608,-0.3007081596595602,Oceania,0.2222222222222222
Aves,Spatula_clypeata,27,6,0.328504066972036,0.2720267445021786,"Africa, Asia, Europe, Latin America and Caribbean, North America",0.2222222222222222
Mammalia,Panthera_tigris,23,5,-0.2231435513142097,-0.25915042662051563,Asia,0.21739130434782608
Actinopteri,Myoxocephalus_octodecemspinosus,23,5,0.0087761560480193,0.1717928520843499,North America,0.21739130434782608
Aves,Cygnus_columbianus,23,5,0.1177830356563838,0.01193397066093824,"Asia, Europe, North America",0.21739130434782608
Aves,Pluvialis_squatarola,23,5,0.1748027243799272,0.055939944759824944,"Africa, Asia, Europe, North America, Oceania",0.21739130434782608
Aves,Eudyptes_chrysocome,42,9,-0.24994837776887996,-0.1551472937953639,"Africa, Latin America and Caribbean, Oceania",0.21428571428571427
Actinopteri,Clupea_pallasii,28,6,0.0013441130864767,0.015302586678774734,"International Waters, North America",0.21428571428571427
Aves,Calidris_alpina,28,6,0.058171344740466105,0.18045462866777212,"Africa, Asia, Europe, North America",0.21428571428571427
Actinopteri,Sander_vitreus,24,5,0.13177065383959874,0.08445346583573587,North America,0.20833333333333334
Mammalia,Phoca_vitulina,49,10,0.8173375607913291,0.639352480929494,"Europe, North America",0.20408163265306123
Actinopteri,Nezumia_bairdii,20,4,-0.011177426165440449,-0.14573549607977246,North America,0.2
