Risk_Category,Population_Count,Share
Critical decline,4062,0.19084758504040594
High decline,2012,0.09453110317609471
Moderate decline,2790,0.13108438263484307
Stable / near stable,5008,0.23529411764705882
Increase,7412,0.34824281150159747
