Region,Total_Populations,High_Risk_Populations,Median_Log_Trend,High_Risk_Share
International Waters,154,63,-0.2843160244725528,0.4090909090909091
Oceania,6874,2706,0.0,0.3936572592377073
Africa,1577,543,-0.1218898176090368,0.3443246670894103
Asia,966,322,0.0,0.3333333333333333
Antarctic,202,47,0.25329518565572545,0.23267326732673269
North America,5731,1228,-8.197745624545453e-05,0.21427325074158088
Europe,3648,753,0.2401709657227242,0.20641447368421054
Latin America and Caribbean,2132,412,0.0,0.19324577861163228
